,0
0,No Data
1,No Data
2,No Data
3,
4,"Natural Gas, Baseboard"
5,"Hot Water, Natural Gas"
6,"Baseboard, Oil"
7,No Data
8,"Natural Gas, Hot Water"
9,"Oil, Steam"
10,
11,"Radiant, Gas"
12,No Data
13,No Data
14,"Natural Gas, Hot Water"
15,No Data
16,No Data
17,No Data
18,No Data
19,No Data
20,No Data
21,No Data
22,No Data
23,No Data
24,Natural Gas
25,"Forced air, Gas"
26,No Data
27,No Data
28,"Radiant, Gas"
29,No Data
30,No Data
31,"Natural Gas, Baseboard"
32,Forced air
33,No Data
34,No Data
35,No Data
36,No Data
37,No Data
38,"Natural Gas, Hot Water"
39,No Data
40,"Natural Gas, Hot Water"
41,"Forced Air, Natural Gas"
42,"Natural Gas, Hot Water"
43,No Data
44,Gas
45,No Data
46,No Data
47,"Natural Gas, Steam"
48,"Oil, Forced Air"
49,Natural Gas
50,No Data
51,No Data
52,No Data
53,No Data
54,No Data
55,No Data
56,"Natural Gas, Steam"
57,Natural Gas
58,"Natural Gas, Hot Water"
59,Hot Water
