,0
0,"Other, Other"
1,"Natural Gas, Hot Water"
2,No Data
3,"Natural Gas, Steam"
4,"Natural Gas, Hot Water"
5,No Data
6,No Data
7,No Data
8,No Data
9,No Data
10,"Natural Gas, Hot Water"
11,"Natural Gas, Baseboard"
12,No Data
13,"Natural Gas, Steam"
14,No Data
15,No Data
16,No Data
17,No Data
18,"Natural Gas, Forced Air"
19,"Natural Gas, Steam"
20,No Data
21,No Data
22,No Data
23,No Data
24,No Data
25,"Natural Gas, Steam"
26,No Data
27,No Data
28,"Natural Gas, Baseboard"
29,"Natural Gas, Baseboard, Hot Water"
30,No Data
31,No Data
32,No Data
33,No Data
34,No Data
35,No Data
36,No Data
37,Forced air
38,No Data
39,"Natural Gas, Forced Air"
40,Natural Gas
41,No Data
42,No Data
43,"Natural Gas, Hot Water"
44,"Natural Gas, Hot Water"
45,"Oil, Other"
46,No Data
47,No Data
48,No Data
49,No Data
50,No Data
51,"Hot Water, Natural Gas"
52,"Oil, Hot Water"
53,"Natural Gas, Steam"
54,"Natural Gas, Hot Water"
55,Natural Gas
56,No Data
57,"Other, Radiant, Wall, Gas"
58,Radiant
