,0
0,"Other, Electric"
1,Natural Gas
2,No Data
3,"Natural Gas, Steam"
4,No Data
5,"Oil, Steam"
6,"Hot Water, Natural Gas"
7,"Natural Gas, Steam"
8,Natural Gas
9,"Natural Gas, Hot Water"
10,"Forced air, Gas"
11,No Data
12,No Data
13,Forced air
14,No Data
15,No Data
16,"Natural Gas, Forced Air"
17,No Data
18,No Data
19,
20,"Oil, Natural Gas"
21,
22,"Natural Gas, Baseboard"
23,"Oil, Hot Water"
24,No Data
25,Radiant
26,No Data
27,No Data
28,Natural Gas
29,"Natural Gas, Hot Water, Steam/Radiator"
30,"Forced Air, Natural Gas"
31,"Natural Gas, Baseboard"
32,"Oil, Hot Water"
33,"Natural Gas, Hot Water"
34,Natural Gas
35,No Data
36,"Forced Air, Natural Gas, Fireplace(s)"
37,No Data
38,No Data
39,No Data
40,No Data
41,No Data
42,No Data
43,No Data
44,No Data
45,"Natural Gas, Baseboard, Steam"
46,No Data
47,No Data
48,No Data
49,No Data
50,No Data
51,No Data
52,No Data
53,No Data
54,No Data
55,No Data
56,No Data
57,No Data
58,"Hot Water, Natural Gas"
59,"Forced Air, Natural Gas"
