,0
0,No Data
1,No Data
2,Forced air
3,No Data
4,No Data
5,
6,No Data
7,"Forced Air, Natural Gas"
8,No Data
9,"Natural Gas, Heat Recovery System, Hot Water"
10,No Data
11,No Data
12,No Data
13,No Data
14,No Data
15,No Data
16,No Data
17,No Data
18,No Data
19,No Data
20,Forced air
21,No Data
22,"Natural Gas, Hot Water"
23,No Data
24,No Data
25,No Data
26,No Data
27,Baseboard
28,"Forced air, Gas"
29,No Data
30,Forced air
31,No Data
32,"Natural Gas, Hot Water"
33,No Data
34,"Oil, Hot Water"
35,"Natural Gas, Baseboard"
36,"Natural Gas, Hot Water"
37,Steam/Radiator
38,"Natural Gas, Baseboard"
39,"Forced Air, Natural Gas"
40,No Data
41,"Natural Gas, Baseboard"
42,No Data
43,Forced Air
44,"Natural Gas, Baseboard"
45,No Data
46,Radiant
47,No Data
48,No Data
49,Forced air
50,No Data
51,
52,"Natural Gas, Baseboard"
53,"Oil, Hot Water"
54,"Natural Gas, Baseboard"
55,"Natural Gas, Hot Water"
56,No Data
57,"Forced air, Gas"
58,No Data
59,No Data
