,0
0,"Built-in, Garage, Assigned"
1,Shared Driveway
2,"Private, Driveway"
3,"Shared Driveway, Detached, Garage, Off Street"
4,0 spaces
5,On Street
6,"No Garage, Assigned"
7,"Private, Attached, Driveway, Garage"
8,0 spaces
9,"Private Drive, Detached Garage"
10,"Garage - Attached, Off-street, Covered"
11,0 spaces
12,On-street
13,0 spaces
14,0 spaces
15,0 spaces
16,"Shared Drive, Other"
17,0 spaces
18,0 spaces
19,
20,"Assigned, Garage, Private, Tandem"
21,
22,"Private, Attached"
23,Private
24,0 spaces
25,"Garage, Garage - Attached"
26,0 spaces
27,Covered
28,"Private, Detached, Garage, Off Street"
29,"Shared Drive, 2 Spaces, Detached Garage"
30,"No Garage, Off Street"
31,0 spaces
32,Waitlist
33,"Private, Detached"
34,"Private, Attached"
35,1 Space
36,"No Garage, Assigned"
37,"Carport, Covered"
38,0 spaces
39,Garage - Detached
40,Garage - Detached
41,Covered
42,0 spaces
43,0 spaces
44,0 spaces
45,"Private, Detached"
46,Private
47,0 spaces
48,Private
49,0 spaces
50,Garage - Attached
51,0 spaces
52,None
53,0 spaces
54,0 spaces
55,0 spaces
56,0 spaces
57,0 spaces
58,"Built-in, Garage, Off Street"
59,"No Garage, Off Street"
