,0
0,0 spaces
1,0 spaces
2,0 spaces
3,0 spaces
4,None
5,0 spaces
6,0 spaces
7,0 spaces
8,"None, Covered"
9,0 spaces
10,0 spaces
11,0 spaces
12,0 spaces
13,0 spaces
14,0 spaces
15,"Driveway, Private"
16,0 spaces
17,0 spaces
18,"Garage, Garage - Attached"
19,0 spaces
20,0 spaces
21,0 spaces
22,0 spaces
23,None
24,"Private, Detached, Driveway, Garage"
25,"Garage, Garage - Attached, Covered"
26,"None, On Street"
27,0 spaces
28,On-street
29,0 spaces
30,0 spaces
31,None
32,None
33,Wait-List
34,0 spaces
35,0 spaces
36,Covered
37,On Street
38,Shared Driveway
39,0 spaces
40,None
41,0 spaces
42,0 spaces
43,0 spaces
44,0 spaces
45,None
46,0 spaces
47,On-street
48,None
49,0 spaces
50,"On-street, Covered"
51,0 spaces
52,0 spaces
53,Covered
54,Covered
55,0 spaces
56,
57,0 spaces
58,"Private, Detached, Garage"
59,Waitlist
