,0
0,0 spaces
1,Covered
2,"Private, Attached"
3,"Assigned, On Street"
4,"No Garage, Assigned"
5,"Garage, Garage - Attached"
6,"Shared Driveway, Attached"
7,"Assigned, Waitlist"
8,"No Garage, Off Street"
9,
10,"Assigned, Garage"
11,
12,"Detached, Driveway"
13,None
14,"Attached, Driveway"
15,"Attached, Garage, Off Street, Garage Door Opener"
16,"Private, Driveway, No Garage"
17,"Built-in, Garage, Assigned"
18,"Built-in, Garage, Assigned, Off Street"
19,0 spaces
20,0 spaces
21,0 spaces
22,"Garage, Garage - Attached"
23,"No Garage, Assigned"
24,"Private, Driveway, On Street"
25,Garage - Attached
26,0 spaces
27,0 spaces
28,0 spaces
29,0 spaces
30,0 spaces
31,0 spaces
32,
33,Garage - Attached
34,0 spaces
35,0 spaces
36,0 spaces
37,"Private, Driveway, No Garage, Public Parking, On Street"
38,"Private, No Garage"
39,"Private, Detached"
40,0 spaces
41,
42,0 spaces
43,"Garage, Heated Garage"
44,0 spaces
45,0 spaces
46,0 spaces
47,Covered
48,0 spaces
49,Attached
50,Garage - Detached
51,0 spaces
52,0 spaces
53,0 spaces
54,0 spaces
55,On-street
56,0 spaces
57,Covered
58,Shared Driveway
59,"Built-in, Assigned"
